,sofifa_id,short_name,player_positions,overall,value_eur,id
139,200936,J. Reckord,"LWB, LB",61,300000.0,139
140,201491,D. Lafferty,"LWB, LB, LM",61,230000.0,140
141,224602,Zhang Wei,"LWB, LB",61,300000.0,141
142,225716,A. Ablet,"LWB, LW",61,120000.0,142
143,240472,Hu Ruibao,"LWB, LB",61,475000.0,143
144,247001,N. Farrugia,"LWB, LM, RM",61,700000.0,144
145,247836,D. Wilmering,"LWB, LB",61,675000.0,145
146,248050,H. Burrows,"LWB, CAM",61,750000.0,146
147,256510,J. Bagan,"LWB, LB",61,750000.0,147
148,257722,D. Șerbănică,"LWB, LB, CB",61,425000.0,148
149,258468,R. Vita,"LWB, LB",61,825000.0,149
150,244128,C. Green,"LWB, LB",60,375000.0,150
151,247125,Z. Bassong,"LWB, CB, LB",60,475000.0,151
152,255534,J. Khayat,LWB,60,220000.0,152
153,257790,J. Reid,"LWB, LB",60,550000.0,153
154,263801,J. Tomlinson,"LWB, LM",60,525000.0,154
155,263928,Yuri,"LWB, LM",60,325000.0,155
156,237714,D. Ingham,"LWB, RWB",59,350000.0,156
157,244733,R. Law,LWB,59,475000.0,157
158,261224,Hugo Bueno,LWB,59,700000.0,158
159,259716,D. Svensson,"LWB, LM",58,475000.0,159
160,260736,V. Rodríguez,LWB,58,475000.0,160
161,242730,J. Evans,LWB,57,375000.0,161
162,263767,L. Hall,LWB,57,350000.0,162
163,247766,I. Powell,"LWB, LB",55,250000.0,163
164,259396,K. Ngwenya,"LWB, LB",55,300000.0,164
165,260885,A. Kazeem,"LWB, LB",55,275000.0,165
166,262224,E. Edh,LWB,55,300000.0,166
167,264009,Y. Gurfinkel,"LWB, LM, LB",55,275000.0,167
168,263802,A. Powell,LWB,54,250000.0,168
169,259471,M. Murphy,"LWB, RB",52,180000.0,169
170,251564,J. Tiensia,"LWB, CB",51,130000.0,170
